No,Industri,Company,Emiten,DER,ROA,Sales Growth,ROE,NPM,Category
1,Real Estate,Agung Podomoro Land Tbk,APLN,1.77,0.06,0.33,0.13,0.12,1
2,Real Estate,Armidian Karyatama Tbk,ARMY,0.28,-0.05,0.41,-0.12,-0.13,1
3,Real Estate,Andalan Sakti Primaindo Tbk,ASPI,0.40,0.05,0.03,0.07,0.13,1
4,Real Estate,Alam Sutera Realty Tbk,ASRI,1.36,-0.02,0.22,-0.08,-0.16,1
5,Real Estate,Trimitra Prawara Goldland Tbk,ATAP,0.34,0.21,0.17,0.32,0.25,4
6,Real Estate,Bekasi Asri Pemula Tbk,BAPA,0.08,0.03,0.3,0.06,0.07,1
7,Real Estate,Bhakti Agung Propertindo Tbk,BAPI,0.49,0.11,0.79,0.14,0.17,4
8,Real Estate,Bumi Benowo Sukses Sejahtera Tbk,BBSS,0.02,-0.05,-0.17,-0.16,-0.54,1
9,Real Estate,Bumi Citra Permai Tbk,BCIP,0.94,0.12,0.68,0.29,0.21,4
10,Real Estate,Bekasi Fajar Industrial Estate Tbk,BEST,0.45,0.01,0.67,0.01,0.01,1
11,Real Estate,Binakarya Jaya Abadi Tbk,BIKA,3.66,0.08,0.28,0.13,0.13,1
12,Real Estate,Bhuwanatala Indah Permai Tbk,BIPP,0.79,-0.32,-0.22,0,-1.99,3
13,Real Estate,Bukit Darmo Property Tbk,BKDP,0.65,-0.04,0.16,-0.1,-0.05,1
14,Real Estate,Sentul City Tbk,BKSL,0.78,0.02,-0.17,0.02,0.05,1
15,Real Estate,Bumi Serpong Damai Tbk,BSDE,0.80,0,0.36,-0.01,-0.01,1
16,Real Estate,Natura City Developments Tbk,CITY,0.23,-0.01,0.41,-0.02,-0.03,1
17,Real Estate,Cowell Development Tbk,COWL,3.10,0.06,1.44,0.24,0.07,2
18,Real Estate,Capri Nusa Satu Properti Tbk,CPRI,0.16,-0.02,0.99,-0.21,-0.01,2
19,Real Estate,Cahayasakti Investindo Sukses Tbk,CSIS,1.04,-0.02,0,-0.08,-0.5,1
20,Real Estate,Ciputra Development Tbk,CTRA,1.22,-0.05,0,-0.93,-0.18,0
21,Real Estate,Diamond Citra Propertindo Tbk,DADA,0.83,0.31,1.42,0.52,0.4,4
22,Real Estate,Duta Anggada Realty Tbk,DART,1.40,0.08,0.16,0.15,0.15,1
23,Real Estate,Intiland Development Tbk,DILD,1.64,0.04,0.16,0.05,0.04,1
24,Real Estate,Puradelta Lestari Tbk,DMAS,0.14,0.02,0.29,0.1,0.01,1
25,Real Estate,Duta Pertiwi Tbk,DUTI,0.37,0.01,-0.28,0.01,0.03,1
26,Real Estate,Pakuwon Jati Tbk,PWON,0.54,0.06,0.17,0.08,0.11,1
27,Real Estate,Ristia Bintang Mahkotasejati Tbk,RBMS,0.65,0.02,0.14,0.04,0.06,1
28,Real Estate,Roda Vivatex Tbk,RDTX,0.59,0.09,0.24,0.15,0.18,1
29,Real Estate,Repower Asia Indonesia Tbk,REAL,1.91,-0.06,-0.15,-0.18,-0.14,1
