No,Emiten,Company,DER,ROA,Sales Growth,ROE,NPM,Category
1,APLN,Agung Podomoro Land Tbk,1.77,-0.02,0.33,-0.05,-0.20,1
2,ARMY,Armidian Karyatama Tbk,0.28,0.01,0.41,0.01,0.24,1
3,ASPI,Andalan Sakti Primaindo Tbk,0.40,-0.04,0.03,-0.06,-2.08,1
4,ASRI,Alam Sutera Realty Tbk,1.36,-0.06,0.22,-0.14,-2.66,1
5,ATAP,Trimitra Prawara Goldland Tbk,0.34,0.04,0.17,0.06,0.34,4
6,BAPA,Bekasi Asri Pemula Tbk,0.08,-0.02,0.3,-0.03,-0.51,1
7,BAPI,Bhakti Agung Propertindo Tbk,0.49,-0.01,0.79,-0.01,-1.15,4
8,BBSS,Bumi Benowo Sukses Sejahtera Tbk,0.02,-,-0.17,-,-0.15,1
9,BCIP,Bumi Citra Permai Tbk,0.94,0.03,0.68,0.05,0.26,4
10,BEST,Bekasi Fajar Industrial Estate Tbk,0.45,-0.04,0.67,-0.05,-6.04,1
11,BIKA,Binakarya Jaya Abadi Tbk,3.66,-0.02,0.28,-0.09,-0.48,1
12,BIPP,Bhuwanatala Indah Permai Tbk,0.79,0.02,-0.22,0.04,0.10,3
13,BKDP,Bukit Darmo Property Tbk,0.65,-0.03,0.16,-0.06,-1.27,1
14,BKSL,Sentul City Tbk,0.78,-0.02,-0.17,-0.04,-1.75,1
15,BSDE,Bumi Serpong Damai Tbk,0.80,0.04,0.36,0.07,1.41,1
16,CITY,Natura City Developments Tbk,0.23,-0.01,0.41,-0.01,-0.29,1
17,COWL,Cowell Development Tbk,3.10,-0.01,1.44,-0.04,-0.15,2
18,CPRI,Capri Nusa Satu Properti Tbk,0.16,-0.01,0.99,-0.01,-1.19,2
19,CSIS,Cahayasakti Investindo Sukses Tbk,1.04,0.01,0,0.03,0.10,1
20,CTRA,Ciputra Development Tbk,1.22,0.02,0,0.05,0.53,0
21,DADA,Diamond Citra Propertindo Tbk,0.83,0.13,1.42,0.23,0.34,4
22,DART,Duta Anggada Realty Tbk,1.40,-0.06,0.16,-0.14,-5.35,1
23,DILD,Intiland Development Tbk,1.64,-,0.16,-,0.02,1
24,DMAS,Puradelta Lestari Tbk,0.14,0.16,0.29,0.19,2.03,1
25,DUTI,Duta Pertiwi Tbk,0.37,0.06,-0.28,0.09,2.59,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,-,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
